,Date,Start Time,Players,Win/Fail,Win Time,Completed,Happy,May give 5 star reviews,Picture,Game Master,Notes,
,9/8,9:00 PM,7,F,,90%,Y,Y,Y,Jack,,
,9/2,1:00 PM,6,F,60,50%,M,M,Y,Ryan,,
,9/2,11:00 AM,5,F,60,95%,Y,Y,Y,Ryan,,
,8/31,3:00 PM,8,W,58,100%,Y,Y,Y,Ryan,,
,8/30,7:00 PM,9,W,52,100%,Y,Y,Y,Jack,,
,8/28,9:00 PM,8,W,53,100%,Y,Y,Y,Jack,,
,8/28,7:00 PM,6,F,,80%,Y,Y,Y,Jack,,
,8/28,5:00 PM,5,F,,30%,N,N,N,Jack,"Previous guest had changed the brieFcase code, they said they Were stuck on the brieFcase For a While because oF it",
,8/28,12:30 PM,11,W,60,100%,Y,Y,Y,Hanna,,
,8/25,9:00 PM,5,W,58,100%,Y,Y,Y,Jack,,
,8/25,7:00 PM,4,F,,80%,Y,Y,Y,Jack,,
,8/25,5:00 PM,4,F,,60%,M,M,Y,Jack,,
,8/25,3:00 PM,5,W,58,100%,Y,Y,Y,Ryan,,
,8/25,1:00 PM,7,F,60,80%,Y,Y,Y,Ryan,,
,8/24,9:00 PM,,,,,,,,,,
,8/24,7:00 PM,4,F,,85%,Y,Y,Y,Jack,,
,8/24,3:00 PM,5,F,,85%,Y,Y,Y,Hanna,,
,8/24,1:00 PM,6,W,56,100%,Y,Y,Y,Hanna,,
,8/23,3:00 PM,3,F,,75%,Y,Y,Y,Ryan,,
,8/22,3:00 PM,4,W,60,100%,Y,Y,Y,Hanna,,
,8/22,1:00 PM,7,W,55,100%,Y,Y,Y,Hanna,,
,8/21,7:00 PM,5,F,,70%,Y,Y,Y,,,
,8/19,3:00 PM,6,F,,90%,Y,Y,Y,Jack,,
,8/19,1:00 PM,4,W,58,100%,Y,Y,Y,Jack,,
,8/18,5:00 PM,6,F,,90%,Y,Y,N,Hanna/Jack,,
,8/17,5:00 PM,5,W,53,100%,Y,Y,Y,Jack,,
,8/16,3:00 PM,4,F,,90%,,,Y,,,
,8/15,9:00 PM,7,F,,90%,Y,Y,Y,,,
,8/14,9:00om,8,F,,70%,y,y,n,Cordelia,,
,8/11,9:00 PM,5,F,,70%,Y,Y,Y,Jack,,
,8/11,7:00 PM,5,W,54,100%,Y,Y,Y,Jack,,
,8/11,3:00 PM,5,F,,80%,Y,Y,N,Cordelia,,
,8/11,11:00 AM,4,W,52,100%,y,y,y,Cordelia,,
,8/10,7:00 PM,5,F,,90%,Y,Y,Y,Jack,,
,8/10,1:00 PM,9,W,53,100%,Y,Y,Y,Cordelia,,
,8/9,5:00 PM,9,F,,75%,y,y,b,,,
,8/9,3:00 PM,7,F,60,80%,Y,,Y,,,
,8/9,3:00 PM,5,F,60,75%,Y,,Y,Ryan/Cordelia,,
,8/9,1:00 PM,8,W,51,100%,Y,,Y,Ryan,,
,8/8,5:00 PM,6,F,,90%,Y,Y,Y,Hanna/Jack/Ryan,,
,8/7,7:00 PM,3,W,50,100%,y,y,y,Cordelia,,
,8/5,11:00 AM,10,W ,58,100%,Y,Y,Y,Emily,,
,8/4,9:00 PM,,,,,,,,Hanna,,
,8/4,7:00 PM,6,,,,,,,Hanna/Emily,,
,8/4,5:00 PM,8,W,61,100%,Y,Y,Y,Hanna/Emily,,
,8/4,3:00 PM,6,W,58,100%,Y,Y,Y,Jack/Emilly,,
,8/4,11:00 AM,4,W,58,100%,Y,Y,Y,Jack,,
,8/3,7:00 PM,5,W,55,100%,y,y,y,Cordelia,,
,8/2,9:00 PM,5,W,45,100%,y,y,y,Cordelia,,
,7/28,9:00 PM,4,W,47,100%,Y,Y,Y,Hanna,,
,7/28,3:00 PM,4,F,,50%,Y,Y,Y,Jack,,
,7/27,9:00 PM,7,F,,70%,Y,Y,Y,Jack,,
,7/27,7:00 PM,10,W,49,100%,Y,Y,Y,Jack,,
,7/27,1:00 PM,13,W,57,100%,Y,Y,Y,Cordelia,,
,7/26,1:00 PM,4,F,,60%,Y,Y,Y,Hanna,,
,7/25,9:00 PM,9,F,,80%,Y,Y,Y,,,
,7/25,3:00 PM,12,F,,60%,Y,Y,N,Hanna,,
,7/24,7:00 PM,4,W,54,100%,Y,Y,Y,Cordelia,,
,7/22,5:00 PM,5,F,,90%,Y,Y,,Jack,,
,7/21,9:00 PM,7,W,55,100%,Y,Y,Y,Cordelia,,
,7/21,5:00 PM,4,F,,70%,M,M,Y,Cordelia/Jack,,
,7/21,3:00 PM,10,F,,80%,Y,Y,Y,Ian/Jack,,
,7/21,1:00 PM,8,F,,90%,Y,Y,Y,Ian/Jack,,
,7/20,5:00 PM,9,,,,,,,Cordelia/Bean,,
,7/17,1:00 PM,5,F,,75%,Y,Y,Y,Cordelia,,
,7/15,4:00 PM,9,F,,80%,M,M,Y,Emily/Jack,,
,7/15,3:00 PM,5,F,,90%,Y,Y,Y,Emily,,
,7/14,9:00 PM,10,W,51,100%,Y,Y,Y,,,
,7/14,5:00 PM,5,F,,80%,Y,Y,Y,Jack,,
,7/14,3:00 PM,6,F,,75%,Y,Y,Y,Emily/Bean,,
,7/13,7:00 PM,6,F,,90%,Y,Y,Y,Emily,,
,7/13,3:00 PM,11,W,48,100%,Y,Y,Y,Cordelia ,,
,7/13,1:00 PM,5,W,55,100%,Y,Y,Y,Cordelia,,
,7/10,7:00 PM,6,W,60,100%,Y,Y,Y,Cordelia,,
,7/10,5:00 PM,5,W,59,100%,N,N,Y,Bean/Cordelia,,
,7/9,11:30 AM,8,W,49,100%,Y,Y,Y,Cordelia,,
,7/8,9:00 PM,4,F,,70%,Y,Y,Y,Jack,,
,7/8,7:00 PM,4,F,,80%,Y,Y,Y,Jack,,
,7/8,3:00 PM,6,F,,,,,,,,
,7/8,1:00 PM,4,F,,99%,Y,Y,Y,Emily,,
,7/8,11:00 AM,4,F,,99%,Y,Y,Y,Emily,,
,7/7,9:00 PM,5,F,,75%,Y,Y,Y,Jack,,
,7/7,7:00 PM,4,F,,60%,M,M,N,Emily/Jack,,
,7/7,5:00 PM,6,F,,40%,Y,Y,N,Emily/Jack,,
,7/7,3:00 PM,5,W,60,100%,Y,Y,Y,Emily/Cordelia,,
,7/6,9:00 PM,6,F,,80%,Y,Y,Y,Jack,,
,7/6,3:00 PM,5,F,,70%,Y,Y,Y,Cordelia,,
,7/5,9:00 PM,5,F,,95%,Y,Y,Y,,,
,7/5,5:00 PM,4,F,,70%,Y,Y,Y,Jack,,
,7/4,3:00 PM,8,F,,80%,Y,Y,Y,Cordelia,,
,7/4,1:00 PM,6,F,,99%,Y,Y,Y,Cordelia,,
,7/1,7:00 PM,5,F,,80%,Y,Y,Y,,,
,7/1,5:00 PM,4,F,,85%,Y,Y,Y,Jack,,
,7/1,3:00 PM,5,F,,80%,Y,Y,Y,Emily,,
,6/30,9:00 PM,4,F,,95%,Y,Y,Y,Hanna,,
,6/30,5:00 PM,4,F,,60%,M,M,Y,Hanna/Jack,,
,6/30,3:00 PM,5,F,,50%,Y,Y,Y,Emily/Jack,,
,6/30,1:00 PM,4,F,,60%,Y,Y,Y,Emily/Jack,,
,6/30,11:00 AM,6,F,,99%,Y,Y,Y,Emily,,
,6/29,9:00 PM,4,W,56,100%,Y,Y,Y,Jack,,
,6/29,1:00 PM,10,F,,99%,Y,Y,Y,Ian/Emily,,
,6/28,9:00 PM,5,F,,60%,M,M,Y,,,
,6/26,7:00 PM,7,F,,75%,Y,Y,Y,Cordelia ,,
,6/26,5:00 PM,8,F,,99%,Y,Y,Y,Cordelia ,,
,6/26,3:00 PM,6,F,,75%,Y,Y,Y,Ian,,
,6/24,5,4,F,,99%,Y,Y,N,Emily ,,
,6/24,3:00 PM,7,F,,70%,Y,Y,Y,Jack,,
,6/23,9:00 PM,4,W,56,100%,Y,Y,Y,Hanna,,
,6/23,5:00 PM,4,F,,70%,Y,Y,Y,Hanna/Jack,,
,6/23,3:00 PM,7,F,,90%,Y,Y,Y,Emily/Jack,,
,6/23,1:00 PM,8,F,,95%,Y,Y,Y,Emily/Jack,,
,6/22,7:00 PM,4,F,,80%,Y,Y,Y,Jack,,
,6/22,5:00 PM,6,F,,90%,Y,Y,Y,Ian/Jack,,
,6/21,9:00 PM,6,W,52,100%,Y,Y,Y,,,
,6/21,7:00 PM,4,W,50,100%,Y,Y,Y,COrdelia ,,
,6/21,5:00 PM,8,W,45,100%,Y,Y,Y,Hanna/Cordelia,,
,6/21,3:00 PM,4,W,51,100%,Y,Y,Y,Hanna,,
,6/21,1:00 PM,11,W,57,100%,Y,Y,N,Hanna,,
,6/17,3:00 PM,4,,,,,,,Cordelia,,
,6/17,1:00 PM,5,W,46,100%,Y,Y,Y,Cordelia,,
,6/16,9:00 PM,8,F,,80%,Y,Y,Y,,,
,6/16,7:00 PM,6,F,,70%,Y,Y,Y,Hanna/Jack,,
,6/16,5:00 PM,8,W,55,100%,Y,Y,Y,Hanna/Jack,,
,6/16,3:00 PM,10,F,,80%,Y,Y,Y,Jack,,
,6/15,9:00 PM,4,F,,90%,Y,Y,Y,Hanna,,
,6/15,7:00 PM,12,W,52,100%,Y,Y,Y,Hanna,,
,6/14,7:00 PM,4,F,,90%,Y,Y,Y,Hanna,,
,6/12,11:00 AM,12,W,57,100%,Y,Y,Y,Jack,,
,6/9,7:00 PM,7,,,,,,,,,
,6/9,5:00 PM,6,W,56,100%,Y,Y,Y,,,
,6/9,3:00 PM,7,F,,70%,Y,Y,Y,Emily,,
,6/9,1:00 PM,6,F,,85%,Y,Y,Y,Emily,Photo on phone only,
,6/9,11:00 AM,8,W,55,100%,Y,Y,Y,Emily,,
,6/8,9:00 PM,8,F,,,,,,Cordelia,,
,6/8,7:00 PM,10,W,57,100%,Y,Y,Y,Cordelia,,
,6/8,5:00 PM,4,W,49,100%,Y,Y,Y,Cordelia,,
,6/8,2:00 PM,8,W,57,100%,Y,Y,Y,Emily,,
,6/6,7:00 PM,5,W,51,100%,Y,Y,Y,Cordelia,,
,6/3,7:00 PM,2,W,32,100%,Y,Y,Y,Cordelia,"Had done lab beFore, but apartment team hadn't made it through",
,6/3,3:00 PM,9,F,,90%,Y,Y,,Jack,,
,6/3,1:00 PM,8,F,,80%,Y,Y,N,Jack,,
,6/2,9:00 PM,4,F,,50%,Y,M,Y,Jack,,
,6/2,7:00 PM,5,F,,80%,Y,Y,Y,Cordelia/Jack,,
,6/2,5:00 PM,4,W,59,100%,Y,Y,Y,Cordelia/Jack,,
,6/2,3:00 PM,5,W,60,100%,Y,Y,Y,Cordelia/Emily,,
,5/27,9:00 PM,5,F,,80%,Y,Y,Y,Emily,,
,5/27,7:00 PM,8,F,,80%,Y,Y,Y,Emily,,
,5/26,9:00 PM,8,W,49,100%,Y,Y,Y,Emily,Turned oFF lab Walkie in middle oF game because oF random static,
,5/26,5:00 PM,5,W,60,100%,Y,Y,Y,Emily,Photo on their phone only,
,5/26,3:00 PM,4,W,50,100%,Y,Y,Y,Cordelia,,
,5/22,7:00 PM,8,W,45,100%,Y,Y,Y,Emily,,
,5/22,3:00 PM,8,W,57,100%,Y,Y,Y,Jack,,
,5/20,7:00 PM,9,W,56,100%,Y,Y,Y,Cordelia,,
,5/20,5:00 PM,5,W,59,100%,Y,Y,Y,Cordelia,,
,5/20,3:00 PM,4,F,,95%,Y,Y,N,Emily,,
,5/20,11:00 AM,8,F,,80%,Y,Y,Y,Emily,,
,5/19,9:00 PM,7,F,,80%,Y,Y,Y,Jack,,
,5/19,7:00 PM,7,F,,90%,Y,Y,Y,Jack,,
,5/19,5:00 PM,4,F,,50%,Y,Y,Y,Jack,"Lab Finished super quickly, and Apartment Was really struggling. Eventually let Lab people go into Apartment to help them out, because they Were sitting around bored",
,5/19,3:00 PM,9,W,37,100%,Y,Y,Y,Cordelia/Jack,,
,5/19,1:00 PM,12,F,,60%,Y,Y,N,Cordelia,,
,5/19,11:00 AM,6,W,44,100%,Y,Y,Y,Cordelia,,
,5/18,5:00 PM,4,,,,,,,Cordelia/Bean,,
,5/17,9:00 PM,6,W,59,100%,Y,Y,Y,Jack,,
,5/13,5:00 PM,11,W,51,100%,Y,Y,Y,Hanna,,
,5/13,1:00 PM,2,W,57,100%,Y,Y,N,Cordelia,,
,5/12,9:00 PM,7,F,,50%,Y,Y,Y,Jack,,
,5/12,7:00 PM,6,F,,90%,Y,Y,Y,Hanna/Jack,,
,5/12,5:00 PM,5,F,,70%,Y,Y,Y,Hanna/Jack,,
,5/12,1:00 PM,3,F,,90%,Y,Y,Y,Cordelia/Hanna,,
,5/12,11:00 AM,5,F,,80%,Y,Y,N,Cordelia,,
,5/11,9:00 PM,4,F,,70%,Y,Y,,Jack,,
,5/11,5:00 PM,5,F,,60%,Y,Y,Y,Jack,,
,5/5,9:00 PM,4,F,,60%,M,M,N,Emily,struggled lots,
,5/5,7:00 PM,7,W,56,100%,Y,Y,Y,Emily,,
,5/5,5:00 PM,5,W,60,100%,Y,Y,N,Hanna/Emily,only Wanted photo on personal phone,
,5/4,9:00 PM,7,F,,90%,Y,Y,N,Emily,Photo on phone only since they Were all young,
,5/4,7:00 PM,9,F,,90%,Y,Y,Y,Emily,,
,5/3,7:00 PM,7,F,,70%,Y,Y,Y,Jack,,
,4/29,7:00 PM,8,W,55,100%,Y,Y,Y,Cordelia,,
,4/29,5:00 PM,7,F,,80%,Y,Y,Y,Cordelia,,
,4/29,1:00 PM,7,W,49,100%,Y,Y,Y,Emily,,
,4/28,9:00 PM,4,F,,80%,Y,Y,Y,Jack,,
,4/28,7:00 PM,8,F,,80%,Y,Y,Y,Jack,,
,4/28,5:00 PM,8,W,50,100%,Y,Y,Y,Jack,,
,4/28,3:00 PM,9,W,45,100%,Y,Y,Y,Cordelia ,,
,4/28,1:00 PM,6,W,58,100%,Y,Y,Y,Cordelia,,
,4/27,5:00 PM,8,F,,75%,Y,Y,Y,Cordelia/Jack,,
,4/25,7:00 PM,10,F,,70%,Y,Y,Y,,,
,4/22,9:00 PM,4,F,,80%,Y,Y,N,,,
,4/22,5:00 PM,6,F,,70%,Y,Y,N,Hanna,,
,4/22,3:00 PM,4,W,56,100%,Y,Y,Y,Cordelia,,
,4/21,9:00 PM,7,F,,85%,Y,Y,Y,Emily ,Picture on phone only,
